DATE,ARRIVAL
2006-01-01,
2006-01-02,12.5
2006-01-03,9.0
2006-01-04,31.9
2006-01-05,36.1
2006-01-06,7.1
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,50.6
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,60.5
2006-01-24,81.0
2006-01-25,35.1
2006-01-26,
2006-01-27,
2006-01-28,40.7
2006-01-29,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,45.7
2006-02-07,55.3
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,35.3
2006-02-15,
2006-02-16,
2006-02-17,50.9
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,
