DATE,PRICE
2006-10-01,
2006-10-02,
2006-10-03,
2006-10-04,
2006-10-05,
2006-10-06,
2006-10-07,
2006-10-08,
2006-10-09,
2006-10-10,
2006-10-11,
2006-10-12,
2006-10-13,
2006-10-14,
2006-10-15,
2006-10-16,
2006-10-17,
2006-10-18,
2006-10-19,
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,
2006-10-26,
2006-10-27,
2006-10-28,
2006-10-29,
2006-10-30,1162.0
2006-10-31,1178.0
2006-11-01,1158.0
2006-11-02,
2006-11-03,1180.0
2006-11-04,1200.0
2006-11-05,
2006-11-06,
2006-11-07,
2006-11-08,1211.0
2006-11-09,
2006-11-10,
2006-11-11,1260.0
2006-11-12,
2006-11-13,
2006-11-14,1277.0
2006-11-15,1273.0
2006-11-16,1281.0
2006-11-17,1264.0
2006-11-18,1263.0
2006-11-19,
2006-11-20,1285.0
2006-11-21,1290.0
2006-11-22,
2006-11-23,1317.0
2006-11-24,
2006-11-25,1301.0
2006-11-26,
2006-11-27,
2006-11-28,1325.0
2006-11-29,
2006-11-30,
2006-12-01,1294.0
2006-12-02,
2006-12-03,
2006-12-04,
2006-12-05,1265.0
2006-12-06,
2006-12-07,
2006-12-08,
2006-12-09,1273.0
2006-12-10,
2006-12-11,1289.0
2006-12-12,
2006-12-13,
2006-12-14,1296.0
2006-12-15,
2006-12-16,
2006-12-17,
2006-12-18,
2006-12-19,
2006-12-20,
2006-12-21,1257.0
2006-12-22,
2006-12-23,
2006-12-24,
2006-12-25,
2006-12-26,1284.0
2006-12-27,
2006-12-28,
2006-12-29,
2006-12-30,
2006-12-31,
