DATE,PRICE
2006-01-02,1068.0
2006-01-03,1059.0
2006-01-04,1109.0
2006-01-05,
2006-01-06,1099.0
2006-01-07,1106.0
2006-01-08,
2006-01-09,1114.0
2006-01-10,1144.0
2006-01-11,
2006-01-12,
2006-01-13,1121.0
2006-01-14,1125.0
2006-01-15,
2006-01-16,1080.0
2006-01-17,1067.0
2006-01-18,1110.0
2006-01-19,1098.0
2006-01-20,1103.0
2006-01-21,1109.0
2006-01-22,
2006-01-23,1136.0
2006-01-24,1079.0
2006-01-25,1125.0
2006-01-26,
2006-01-27,1099.0
2006-01-28,1102.0
2006-01-29,
2006-01-30,1096.0
2006-01-31,1091.0
2006-02-01,1074.0
2006-02-02,1088.0
2006-02-03,1094.0
2006-02-04,1095.0
2006-02-05,
2006-02-06,1106.0
2006-02-07,1102.0
2006-02-08,1115.0
2006-02-09,
2006-02-10,1072.0
2006-02-11,1105.0
2006-02-12,
2006-02-13,1100.0
2006-02-14,1089.0
2006-02-15,1091.0
2006-02-16,1095.0
2006-02-17,1092.0
2006-02-18,
2006-02-19,
2006-02-20,1078.0
2006-02-21,1063.0
2006-02-22,1080.0
2006-02-23,1075.0
2006-02-24,1102.0
2006-02-25,1105.0
2006-02-26,
2006-02-27,1087.0
2006-02-28,1060.0
2006-03-01,1070.0
2006-03-02,1102.0
2006-03-03,1068.0
2006-03-04,1083.0
2006-03-05,
2006-03-06,1092.0
2006-03-07,1085.0
2006-03-08,1089.0
2006-03-09,1068.0
2006-03-10,1077.0
2006-03-11,1068.0
2006-03-12,
2006-03-13,1075.0
2006-03-14,1072.0
2006-03-15,
2006-03-16,1072.0
2006-03-17,1070.0
2006-03-18,1061.0
2006-03-19,
2006-03-20,1063.0
2006-03-21,1071.0
2006-03-22,1070.0
2006-03-23,1069.0
2006-03-24,1087.0
2006-03-25,1082.0
2006-03-26,
2006-03-27,1072.0
2006-03-28,1012.0
2006-03-29,1029.0
2006-03-30,1036.0
2006-05-01,1202.0
2006-05-02,1196.0
2006-05-03,1150.0
2006-05-04,1209.0
2006-05-05,1238.0
2006-05-06,1204.0
2006-05-07,
2006-05-08,1231.0
2006-05-09,1235.0
2006-05-10,1211.0
2006-05-11,1238.0
2006-05-12,1180.0
2006-05-13,
2006-05-14,
2006-05-15,1282.0
2006-05-16,2108.0
2006-05-17,1271.0
2006-05-18,1265.0
2006-05-19,1236.0
2006-05-20,1246.0
2006-05-21,
2006-05-22,1175.0
2006-05-23,1144.0
2006-05-24,1235.0
2006-05-25,1223.0
2006-05-26,1200.0
2006-05-27,1240.0
2006-05-28,
2006-05-29,1257.0
2006-05-30,1200.0
2006-05-31,1180.0
