DATE,PRICE
2006-01-02,1087.0
2006-01-03,1111.0
2006-01-04,1130.0
2006-01-05,1133.0
2006-01-06,1135.0
2006-01-07,1135.0
2006-01-08,
2006-01-09,
2006-01-10,1135.0
2006-01-11,
2006-01-12,
2006-01-13,1110.0
2006-01-14,1140.0
2006-01-15,
2006-01-16,1130.0
2006-01-17,1130.0
2006-01-18,1126.0
2006-01-19,1130.0
2006-01-20,1130.0
2006-01-21,1115.0
2006-01-22,
2006-01-23,1125.0
2006-01-24,1125.0
2006-01-25,1125.0
2006-01-26,
2006-01-27,1120.0
2006-01-28,1130.0
2006-01-29,
2006-01-30,1133.0
2006-01-31,1133.0
2006-02-01,1123.0
2006-02-02,1122.0
2006-02-03,1120.0
2006-02-04,1138.0
2006-02-05,
2006-02-06,1135.0
2006-02-07,1135.0
2006-02-08,1139.0
2006-02-09,
2006-02-10,1135.0
2006-02-11,1135.0
2006-02-12,
2006-02-13,
2006-02-14,1132.0
2006-02-15,1125.0
2006-02-16,1135.0
2006-02-17,1138.0
2006-02-18,1138.0
2006-02-19,
2006-02-20,1125.0
2006-02-21,1119.0
2006-02-22,1116.0
2006-02-23,1115.0
2006-02-24,1116.0
2006-02-25,1115.0
2006-02-26,
2006-02-27,
2006-02-28,1125.0
2006-03-01,1125.0
2006-03-02,1125.0
2006-03-03,1115.0
2006-03-04,1115.0
2006-03-05,
2006-03-06,1115.0
2006-03-07,1105.0
2006-03-08,
2006-03-09,1090.0
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,1090.0
2006-03-14,1090.0
2006-03-15,
2006-03-16,1090.0
2006-03-17,1096.0
2006-03-18,1081.0
2006-03-19,
2006-03-20,
2006-03-21,1105.0
2006-03-22,1113.0
2006-03-23,
2006-03-24,
2006-03-25,1110.0
2006-03-26,
2006-03-27,1106.0
2006-03-28,1110.0
2006-03-29,
2006-03-30,
2006-03-31,1097.0
2006-05-01,1220.0
2006-05-02,
2006-05-03,1240.0
2006-05-04,
2006-05-05,1170.0
2006-05-06,1255.0
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,1291.0
2006-05-11,1240.0
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,1305.0
2006-05-19,1285.0
2006-05-20,1294.0
2006-05-21,
2006-05-22,1270.0
2006-05-23,
2006-05-24,
2006-05-25,1151.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,1235.0
2006-05-30,1225.0
2006-05-31,1175.0
