DATE,PRICE
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,1111.0
2006-01-18,
2006-01-19,1102.0
2006-01-20,1100.0
2006-01-21,1100.0
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,1108.0
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,
2006-01-31,
2006-02-01,1110.0
2006-02-02,1106.0
2006-02-03,1120.0
2006-02-04,1114.0
2006-02-05,
2006-02-06,1109.0
2006-02-07,1108.0
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-25,1123.0
2006-02-26,
2006-02-27,1109.0
2006-02-28,1122.0
2006-03-01,
2006-03-02,1147.0
2006-03-03,1123.0
2006-03-04,1122.0
2006-03-05,
2006-03-06,1095.0
2006-03-07,1115.0
2006-03-08,1127.0
2006-03-09,1120.0
2006-03-10,1122.0
2006-03-11,
2006-03-12,
2006-03-13,1125.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,1109.0
2006-03-18,1101.0
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,
2006-04-05,1085.0
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,1100.0
2006-04-11,1084.0
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-22,
2006-04-23,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-04-29,
2006-04-30,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,1216.0
2006-05-28,
2006-05-29,
2006-05-30,1215.0
2006-05-31,1218.0
2006-06-01,1186.0
2006-06-02,
2006-06-03,
2006-06-04,
2006-06-05,1223.0
2006-06-06,1254.0
2006-06-07,1225.0
2006-06-08,1210.0
2006-06-09,1215.0
2006-06-10,
2006-06-11,
2006-06-12,
2006-06-13,1229.0
2006-06-14,1220.0
2006-06-15,1220.0
2006-06-16,1210.0
2006-06-17,
2006-06-18,
2006-06-19,1202.0
2006-06-20,1195.0
2006-06-21,1200.0
2006-06-22,
2006-06-23,1195.0
2006-06-24,1201.0
2006-06-25,
2006-06-26,
2006-06-27,1199.0
2006-06-28,
2006-06-29,1137.0
2006-06-30,1197.0
2006-07-01,1107.0
2006-07-02,
2006-07-03,1204.0
2006-07-04,1195.0
2006-07-05,1179.0
2006-07-06,1185.0
2006-07-07,1194.0
2006-07-08,1129.0
2006-07-09,
2006-07-10,1185.0
2006-07-11,1184.0
2006-07-12,1190.0
2006-07-13,1063.0
2006-07-14,1215.0
2006-07-15,1184.0
2006-07-16,
2006-07-17,1246.0
2006-07-18,1231.0
2006-07-19,
2006-07-20,1200.0
2006-07-21,1215.0
2006-07-22,1195.0
2006-07-23,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-29,
2006-07-30,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-12,
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-19,
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-26,
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
