DATE,PRICE
2006-01-01,
2006-01-02,1055.0
2006-01-03,1073.0
2006-01-04,1078.0
2006-01-05,
2006-01-06,1078.0
2006-01-07,1080.0
2006-01-08,
2006-01-09,1090.0
2006-01-10,1090.0
2006-01-11,
2006-01-12,1050.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,1073.0
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,1073.0
2006-01-29,
2006-01-30,1090.0
2006-01-31,1075.0
2006-02-01,
2006-02-02,1070.0
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,1082.0
2006-02-14,
2006-02-15,
2006-02-16,1075.0
2006-02-17,1075.0
2006-02-18,
2006-02-19,
2006-02-20,1101.0
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,1080.0
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-07-01,
2006-07-02,
2006-07-03,
2006-07-04,
2006-07-05,
2006-07-06,
2006-07-07,
2006-07-08,1100.0
2006-07-09,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,1040.0
2006-07-14,1129.0
2006-07-15,
2006-07-16,
2006-07-17,
2006-07-18,
2006-07-19,
2006-07-20,
2006-07-21,
2006-07-22,
2006-07-23,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-29,
2006-07-30,
2006-07-31,
2006-09-01,
2006-09-02,
2006-09-03,
2006-09-04,
2006-09-05,
2006-09-06,
2006-09-07,
2006-09-08,
2006-09-09,
2006-09-10,
2006-09-11,
2006-09-12,
2006-09-13,
2006-09-14,
2006-09-15,
2006-09-16,
2006-09-17,
2006-09-18,
2006-09-19,
2006-09-20,
2006-09-21,
2006-09-22,
2006-09-23,
2006-09-24,
2006-09-25,
2006-09-26,
2006-09-27,
2006-09-28,
2006-09-29,
2006-09-30,
2006-10-01,
2006-10-02,
2006-10-03,
2006-10-04,
2006-10-05,
2006-10-06,
2006-10-07,
2006-10-08,
2006-10-09,
2006-10-10,
2006-10-11,
2006-10-12,
2006-10-13,
2006-10-14,
2006-10-15,
2006-10-16,
2006-10-17,1051.0
2006-10-18,
2006-10-19,1098.0
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,1125.0
2006-10-26,1132.0
2006-10-27,1134.0
2006-10-28,1133.0
2006-10-29,
2006-10-30,1151.0
2006-10-31,1176.0
2006-11-01,1170.0
2006-11-02,1196.0
2006-11-03,1239.0
2006-11-04,1258.0
2006-11-05,
2006-11-06,1235.0
2006-11-07,
2006-11-08,1230.0
2006-11-09,1274.0
2006-11-10,1256.0
2006-11-11,1287.0
2006-11-12,
2006-11-13,
2006-11-14,
2006-11-15,1315.0
2006-11-16,1308.0
2006-11-17,1285.0
2006-11-18,1292.0
2006-11-19,
2006-11-20,1300.0
2006-11-21,1357.0
2006-11-22,1346.0
2006-11-23,1325.0
2006-11-24,1334.0
2006-11-25,1325.0
2006-11-26,
2006-11-27,1347.0
2006-11-28,1338.0
2006-11-29,1316.0
2006-11-30,
2006-12-01,1334.0
2006-12-02,
2006-12-03,
2006-12-04,
2006-12-05,1285.0
2006-12-06,
2006-12-07,1275.0
2006-12-08,1301.0
2006-12-09,
2006-12-10,
2006-12-11,1291.0
2006-12-12,1325.0
2006-12-13,
2006-12-14,
2006-12-15,1300.0
2006-12-16,
2006-12-17,
2006-12-18,
2006-12-19,
2006-12-20,
2006-12-21,
2006-12-22,1281.0
2006-12-23,
2006-12-24,
2006-12-25,
2006-12-26,
2006-12-27,
2006-12-28,
2006-12-29,
2006-12-30,
2006-12-31,
